ID,Label,Type,Image,birthPlaceLabel,birthCountryLabel,deathPlaceLabel,deathCountryLabel,Samengestelde werkplaatsen,Samengestelde woonplaatsen,Bijhorendland,BijhorendlandLabel
Q2457997,Constant Hansen,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Hansen%2C%20Constant%20Jacob%20%281833-1910%29%3B%20letterkundige%20en%20hoofdbibliothecaris%20stadsbibliotheek%20Antwerpen%2C%20Haeck%2C%20Leopold%2C%20Felixarchief%2C%2012%209296%20recto%20%28cropped%29.jpg,Vlissingen,Nederland,Brasschaat,België,,,,
Q115819047,Constant Van Coillie,Person,,Hooglede,België,Kortrijk,België,,,,
Q115816445,Constantin Lagae,Person,,Roeselare,België,,,,,,
Q115837593,Constantin Thoma,Person,,Oostende,België,Oostende,België,,,,
Q115837342,Constantinus Roelandts,Person,,Ingelmunster,België,Dikkebus,België,,,,
Q115839443,Constantinus Van Zieleghem,Person,,Tielt,België,Brugge,België,,,,
Q113466955,Cordelia Van de Wiele,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Cordelia%20Van%20de%20Wiele%20-%20secretaresse%20Guido%20Gezelle.jpg,Kortrijk,België,Kortrijk,België,,,,
Q120793054,Cuthbert Robinson,Person,,Middlesex,Verenigd Koninkrijk,Londen,Verenigd Koninkrijk,,,,
Q98322098,Cyriel Delaere,Person,,Lendelede,België,Leffinge,België,,,,
Q122884757,Cyril James Weale,Person,,Brugge,België,Q5125864,Verenigd Koninkrijk,,,,
Q122779793,Delphine Frederica Marie Blancke,Person,,Dadizele,België,Dadizele,België,,,,
Q118998471,Denis Auguste Julien Roger,Person,,Brugge,België,Brugge,België,,,,
Q115834834,Desideer Meersseman,Person,,Geluveld,België,Moorsele,België,,,,
Q120556534,Desiderius De Pau,Person,,Maldegem,België,Maldegem,België,,,,
Q118733026,Domenico Macry Correale,Person,,Siderno,Italië,Siderno,Italië,,,,
Q126113249,Domenico Pisani,Person,,Palmata,Italië,Dublin,Ierland,,,,
