source,sourceLabel,target,targetLabel,relationshipType
http://www.wikidata.org/entity/Q120651810,René-François Flahault,http://www.wikidata.org/entity/Q332310,Belle,Geboorteplaats
http://www.wikidata.org/entity/Q120651810,René-François Flahault,http://www.wikidata.org/entity/Q45797,Duinkerke,Werklocatie
http://www.wikidata.org/entity/Q64302,Richard Andree,http://www.wikidata.org/entity/Q2773,Braunschweig,Geboorteplaats
http://www.wikidata.org/entity/Q64302,Richard Andree,http://www.wikidata.org/entity/Q2966,Heidelberg,Werklocatie
http://www.wikidata.org/entity/Q64302,Richard Andree,http://www.wikidata.org/entity/Q2079,Leipzig,Werklocatie
http://www.wikidata.org/entity/Q64302,Richard Andree,http://www.wikidata.org/entity/Q1726,München,Sterfteplaats
http://www.wikidata.org/entity/Q64302,Richard Andree,http://www.wikidata.org/entity/Q1726,München,Werklocatie
http://www.wikidata.org/entity/Q115813641,Rijkaart Carette,http://www.wikidata.org/entity/Q12994,Brugge,Werklocatie
http://www.wikidata.org/entity/Q115813641,Rijkaart Carette,http://www.wikidata.org/entity/Q2863278,Jonkershove,Werklocatie
http://www.wikidata.org/entity/Q115813641,Rijkaart Carette,http://www.wikidata.org/entity/Q2181673,Koolskamp,Sterfteplaats
http://www.wikidata.org/entity/Q115813641,Rijkaart Carette,http://www.wikidata.org/entity/Q2181673,Koolskamp,Werklocatie
http://www.wikidata.org/entity/Q115813641,Rijkaart Carette,http://www.wikidata.org/entity/Q822783,Meulebeke,Geboorteplaats
http://www.wikidata.org/entity/Q115813641,Rijkaart Carette,http://www.wikidata.org/entity/Q2491546,Otegem,Werklocatie
http://www.wikidata.org/entity/Q648,Rijsel,http://www.wikidata.org/entity/Q142,Frankrijk,In Land
http://www.wikidata.org/entity/Q8678,Rio de Janeiro,http://www.wikidata.org/entity/Q155,Brazilië,In Land
http://www.wikidata.org/entity/Q7343011,Robert Coffin,http://www.wikidata.org/entity/Q131491,Brighton,Geboorteplaats
http://www.wikidata.org/entity/Q7343011,Robert Coffin,http://www.wikidata.org/entity/Q531311,Teignmouth,Sterfteplaats
http://www.wikidata.org/entity/Q125472922,Robert John Stanislaw Edmonstone,http://www.wikidata.org/entity/Q188313,Blackburn,Geboorteplaats
http://www.wikidata.org/entity/Q125472922,Robert John Stanislaw Edmonstone,http://www.wikidata.org/entity/Q1557796,Gwanda,Sterfteplaats
http://www.wikidata.org/entity/Q125472922,Robert John Stanislaw Edmonstone,http://www.wikidata.org/entity/Q185591,Pietermaritzburg,Werklocatie
http://www.wikidata.org/entity/Q125472922,Robert John Stanislaw Edmonstone,http://www.wikidata.org/entity/Q185591,Pietermaritzburg,Woonplaats
http://www.wikidata.org/entity/Q113675636,Robrecht Willaert,http://www.wikidata.org/entity/Q954682,Booitshoeke,Werklocatie
http://www.wikidata.org/entity/Q113675636,Robrecht Willaert,http://www.wikidata.org/entity/Q2085862,Esen,Geboorteplaats
http://www.wikidata.org/entity/Q113675636,Robrecht Willaert,http://www.wikidata.org/entity/Q3110823,Heule,Werklocatie
http://www.wikidata.org/entity/Q113675636,Robrecht Willaert,http://www.wikidata.org/entity/Q102728,Ieper,Werklocatie
http://www.wikidata.org/entity/Q113675636,Robrecht Willaert,http://www.wikidata.org/entity/Q392337,Izegem,Werklocatie
http://www.wikidata.org/entity/Q113675636,Robrecht Willaert,http://www.wikidata.org/entity/Q1924402,Lissewege,Werklocatie
http://www.wikidata.org/entity/Q113675636,Robrecht Willaert,http://www.wikidata.org/entity/Q261414,Lumbres,Sterfteplaats
http://www.wikidata.org/entity/Q113675636,Robrecht Willaert,http://www.wikidata.org/entity/Q506707,Veurne,Werklocatie
http://www.wikidata.org/entity/Q49218,Rochester,http://www.wikidata.org/entity/Q30,Verenigde Staten,In Land
http://www.wikidata.org/entity/Q3057456,Roehampton,http://www.wikidata.org/entity/Q145,Verenigd Koninkrijk,In Land
http://www.wikidata.org/entity/Q9783,Roermond,http://www.wikidata.org/entity/Q55,Nederland,In Land
http://www.wikidata.org/entity/Q2191390,Roesbrugge,http://www.wikidata.org/entity/Q31,België,In Land
http://www.wikidata.org/entity/Q2220639,Roesbrugge-Haringe,http://www.wikidata.org/entity/Q31,België,In Land
