source,target,Type,Weight,relationshipType
Q136750770,Q499588,Undirected,1,Geboorteplaats
Q136750770,Q499588,Undirected,1,Sterfteplaats
Q136750770,Q2755150,Undirected,1,Werklocatie
Q115831039,Q448840,Undirected,1,Geboorteplaats
Q115831039,Q696871,Undirected,1,Sterfteplaats
Q124619468,Q12995,Undirected,1,Werklocatie
Q124619468,Q2166168,Undirected,1,Sterfteplaats
Q124619468,Q2314032,Undirected,1,Geboorteplaats
Q727,Q55,Undirected,1,In Land
Q9899,Q55,Undirected,1,In Land
Q1280942,Q12994,Undirected,1,Sterfteplaats
Q1280942,Q2505670,Undirected,1,Geboorteplaats
Q131923924,Q213224,Undirected,1,Sterfteplaats
Q131923924,Q213224,Undirected,1,Werklocatie
Q131923924,Q220145,Undirected,1,Geboorteplaats
Q122831276,Q12892,Undirected,1,Werklocatie
Q122831276,Q2022299,Undirected,1,Werklocatie
Q122831276,Q3074712,Undirected,1,Sterfteplaats
Q122831276,Q3074712,Undirected,1,Werklocatie
Q122831276,Q190113,Undirected,1,Geboorteplaats
Q12886,Q31,Undirected,1,In Land
Q119039774,Q9920,Undirected,1,Werklocatie
Q119039774,Q9920,Undirected,1,Sterfteplaats
Q119039774,Q25390,Undirected,1,Geboorteplaats
Q13429634,Q211037,Undirected,1,Werklocatie
Q13429634,Q1704244,Undirected,1,Werklocatie
Q115842281,Q875554,Undirected,1,Werklocatie
Q115842281,Q215244,Undirected,1,Werklocatie
Q115842281,Q12995,Undirected,1,Sterfteplaats
Q115842281,Q499588,Undirected,1,Geboorteplaats
Q115842281,Q211037,Undirected,1,Werklocatie
Q115842281,Q506707,Undirected,1,Werklocatie
Q123050649,Q716658,Undirected,1,Woonplaats
Q123050649,Q21,Undirected,1,Geboorteplaats
Q116656531,Q12995,Undirected,1,Geboorteplaats
Q116656531,Q12995,Undirected,1,Woonplaats
Q116508558,Q4865580,Undirected,1,Sterfteplaats
Q116508558,Q3051137,Undirected,1,Woonplaats
Q116508558,Q2209469,Undirected,1,Geboorteplaats
Q116508558,Q47952,Undirected,1,Woonplaats
Q499594,Q31,Undirected,1,In Land
Q126898,Q142,Undirected,1,In Land
Q115830433,Q12994,Undirected,1,Werklocatie
Q115830433,Q12994,Undirected,1,Sterfteplaats
Q115830433,Q12994,Undirected,1,Geboorteplaats
Q115830433,Q211037,Undirected,1,Werklocatie
Q2360599,Q739996,Undirected,1,Sterfteplaats
Q2360599,Q742892,Undirected,1,Geboorteplaats
Q62117109,Q12994,Undirected,1,Sterfteplaats
Q62117109,Q12995,Undirected,1,Geboorteplaats
Q12892,Q31,Undirected,1,In Land
Q614274,Q31,Undirected,1,In Land
Q724577,Q31,Undirected,1,In Land
Q632471,Q30,Undirected,1,In Land
Q639974,Q31,Undirected,1,In Land
Q414,Q414,Undirected,1,In Land
Q120897770,Q822748,Undirected,1,Geboorteplaats
Q115979140,Q12994,Undirected,1,Werklocatie
Q115979140,Q12995,Undirected,1,Werklocatie
Q115979140,Q12995,Undirected,1,Sterfteplaats
Q115979140,Q623310,Undirected,1,Werklocatie
Q115979140,Q499588,Undirected,1,Werklocatie
Q115979140,Q211037,Undirected,1,Geboorteplaats
Q115979140,Q392343,Undirected,1,Werklocatie
Q3450211,Q12994,Undirected,1,Sterfteplaats
Q3450211,Q12994,Undirected,1,Werklocatie
Q3450211,Q318532,Undirected,1,Geboorteplaats
