ID,Label,Type,Image,birthPlaceLabel,copybirthplace,coordinate location,coordinate location 1,Final Latitude,coordinate location 2,Final Longitude,birthCountryLabel,deathPlaceLabel,deathCountryLabel,Samengestelde werkplaatsen,Samengestelde woonplaatsen,Bijhorendland,BijhorendlandLabel,CopyID,Latitude,Longitude
Q116508558,Anne Hill,Person,,Pendleton,Pendleton,"45.669722222222,-118.79138888889",45.669722222222,45.669722222222,-118.79138888889,-118.79138888889,Verenigd Koninkrijk,Barton upon Irwell,Verenigd Koninkrijk,,,,,Q116508558,,
Q115830433,Antoine Wemaer,Person,,Brugge,Bruges,"51.208888888888886,3.2241666666666666",51.208888888888886,51.208888888888886,3.2241666666666666,3.2241666666666666,België,Brugge,België,,,,,Q115830433,,
Q2360599,Antoon Jozef Witteryck,Person,http://commons.wikimedia.org/wiki/Special:FilePath/Wytterick%2023.JPG,Oostkamp,Oostkamp,"51.1544,3.2353",51.1544,51.1544,3.2353,3.2353,België,Assebroek,België,,,,,Q2360599,,
Q62117109,Antoon Verwaetermeulen,Person,,Kortrijk,Kortrijk,"50.8275,3.265833333333333",50.8275,50.8275,3.265833333333333,3.265833333333333,België,Brugge,België,,,,,Q62117109,,
Q120897770,Armand Valcke,Person,,Ingelmunster,Ingelmunster,"50.9208,3.2533",50.9208,50.9208,3.2533,3.2533,België,,,,,,,Q120897770,,
Q115979140,Arsenius Dehulster,Person,,Roeselare,Arrondissement of Roeselare,"50.946667,3.123333",50.946667,50.946667,3.123333,3.123333,België,Kortrijk,België,,,,,Q115979140,,
Q3450211,Arthur De Schrevel,Person,,Wervik,Wervik,"50.7797,3.04",50.7797,50.7797,3.04,3.04,België,Brugge,België,,,,,Q3450211,,
Q122971839,Arthur Jean Botte,Person,,Gent,Ghent,"51.05361111111111,3.725277777777778",51.05361111111111,51.05361111111111,3.725277777777778,3.725277777777778,België,Brugge,België,,,,,Q122971839,,
Q115818861,Arthur Lewylle,Person,,Vlamertinge,Ypres,"50.850833333333334,2.885",50.850833333333334,50.850833333333334,2.885,2.885,België,Ukkel,België,,,,,Q115818861,,
Q115834833,Arthur Maria Gustavus Florimond Plettinck,Person,,Meulebeke,Meulebeke,"50.9497,3.2869",50.9497,50.9497,3.2869,3.2869,België,Tongerlo,België,,,,,Q115834833,,
