person,personLabel,relatieItemLabel,richting,wikidataLink,wikipediaLink,commonsLink,image,bioPortaalLink,viafLink
http://www.wikidata.org/entity/Q28973666,Lodewijk Roersch,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q28973666,,,,,https://viaf.org/viaf/89743681
http://www.wikidata.org/entity/Q13769746,Lodewijk Scharpé,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q13769746,https://nl.wikipedia.org/wiki/Lodewijk_Scharp%C3%A9,https://commons.wikimedia.org/wiki/Category:Lodewijk Scharpé,http://commons.wikimedia.org/wiki/Special:FilePath/GlasraamLodewijkScharpe.jpg,,https://viaf.org/viaf/81227984
http://www.wikidata.org/entity/Q2426280,Lodewijk Van Haecke,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q2426280,https://nl.wikipedia.org/wiki/Lodewijk_Van_Haecke,,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20pastoor%20L.%20Van%20Haecke%2C%201897%2C%20Groeningemuseum%2C%200040504000.jpg,,https://viaf.org/viaf/281505918
http://www.wikidata.org/entity/Q56036067,Lodewijk Willem Schuermans,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q56036067,https://nl.wikipedia.org/wiki/Lodewijk_Willem_Schuermans,,,,https://viaf.org/viaf/234944112
http://www.wikidata.org/entity/Q86735347,Louis David Petit,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q86735347,,,,,https://viaf.org/viaf/49590050
http://www.wikidata.org/entity/Q118120903,Louis De Plancke,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q118120903,,,,,
http://www.wikidata.org/entity/Q136814999,Louis François Van den Bilcke,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q136814999,,,,,
http://www.wikidata.org/entity/Q2134167,Louis Gilliodts,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q2134167,https://nl.wikipedia.org/wiki/Louis_Gilliodts,,,,https://viaf.org/viaf/64100899
http://www.wikidata.org/entity/Q115818009,Louis Goormachtigh,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q115818009,,https://commons.wikimedia.org/wiki/Category:Louis-Marie Goormachtigh,,,
http://www.wikidata.org/entity/Q136814371,Louis Jean Van den Bilcke,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q136814371,,,,,
http://www.wikidata.org/entity/Q119003821,Louis Judocus Rooms,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q119003821,,,,,
http://www.wikidata.org/entity/Q128904091,Louise Adèle Pauline Van Brabant,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q128904091,,,,,
http://www.wikidata.org/entity/Q20902162,Louise Gezelle,broer of zus,Persoon naar Guido,https://www.wikidata.org/wiki/Q20902162,https://nl.wikipedia.org/wiki/Louise_Gezelle,https://commons.wikimedia.org/wiki/Category:Louise Gezelle,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20van%20Louise%20Gezelle%20en%20Stijn%20Streuvels.jpg,,
http://www.wikidata.org/entity/Q20902162,Louise Gezelle,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q20902162,https://nl.wikipedia.org/wiki/Louise_Gezelle,https://commons.wikimedia.org/wiki/Category:Louise Gezelle,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20van%20Louise%20Gezelle%20en%20Stijn%20Streuvels.jpg,,
http://www.wikidata.org/entity/Q117246781,Louise Sidonie Vervaet,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q117246781,,,,,
http://www.wikidata.org/entity/Q125224853,Ludovica Giselina De Vriese,familielid,Persoon naar Guido,https://www.wikidata.org/wiki/Q125224853,,,,,
http://www.wikidata.org/entity/Q117227189,Léonie Pauline Marie Bersou,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q117227189,,,,,
http://www.wikidata.org/entity/Q116621811,Marguerite Marie Josephine Sonck,relevant persoon,Persoon naar Guido,https://www.wikidata.org/wiki/Q116621811,,,,,
